Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163700,CONCEPT-SET,19,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163701,CONCEPT-SET,20,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161499,CONCEPT-SET,21,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161487,CONCEPT-SET,22,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1026,CONCEPT-SET,23,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:166375,CONCEPT-SET,24,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161491,CONCEPT-SET,25,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163602,CONCEPT-SET,26,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:164945,CONCEPT-SET,27,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161514,CONCEPT-SET,28,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:163708,CONCEPT-SET,29,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161429,CONCEPT-SET,30,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161422,CONCEPT-SET,31,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161515,CONCEPT-SET,32,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161426,CONCEPT-SET,33,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161428,CONCEPT-SET,34,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:167178,CONCEPT-SET,35,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161517,CONCEPT-SET,36,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161520,CONCEPT-SET,37,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161152,CONCEPT-SET,38,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161424,CONCEPT-SET,39,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161479,CONCEPT-SET,40,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161425,CONCEPT-SET,41,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161461,CONCEPT-SET,42,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161437,CONCEPT-SET,43,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161496,CONCEPT-SET,44,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:1019,CONCEPT-SET,45,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161430,CONCEPT-SET,46,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:161431,CONCEPT-SET,47,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:162630,CONCEPT-SET,48,,
0166bbd5-8609-4c78-b830-53512a4cbbd3,CIEL:166374,CONCEPT-SET,49,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161510,CONCEPT-SET,50,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161475,CONCEPT-SET,51,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161474,CONCEPT-SET,52,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161480,CONCEPT-SET,53,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161483,CONCEPT-SET,54,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161509,CONCEPT-SET,55,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161512,CONCEPT-SET,56,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161532,CONCEPT-SET,57,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161533,CONCEPT-SET,58,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:168152,CONCEPT-SET,59,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161476,CONCEPT-SET,60,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163625,CONCEPT-SET,61,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161477,CONCEPT-SET,62,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161497,CONCEPT-SET,63,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161498,CONCEPT-SET,64,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1010,CONCEPT-SET,65,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:953,CONCEPT-SET,66,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161488,CONCEPT-SET,67,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:5473,CONCEPT-SET,68,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161506,CONCEPT-SET,69,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161495,CONCEPT-SET,70,,
1001AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161492,CONCEPT-SET,71,,
159995AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:159645,CONCEPT-SET,72,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:168167,CONCEPT-SET,73,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161446,CONCEPT-SET,74,,
159994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:163697,CONCEPT-SET,75,,
163368AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161468,CONCEPT-SET,76,,
43d31d4d-01a0-47b1-854f-545d57a0c78f,CIEL:161463,CONCEPT-SET,77,,
43d31d4d-01a0-47b1-854f-545d57a0c78f,CIEL:161464,CONCEPT-SET,78,,
43d31d4d-01a0-47b1-854f-545d57a0c78f,CIEL:163631,CONCEPT-SET,79,,
159993AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161451,CONCEPT-SET,80,,
8578dd94-a066-4851-bb9f-1c7c03360d8b,CIEL:163628,CONCEPT-SET,81,,
163350AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161458,CONCEPT-SET,82,,
1004AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:159981,CONCEPT-SET,83,,
1d372353-ff56-49d4-97dd-5274fd460156,CIEL:161199,CONCEPT-SET,84,,
